,0,0,0,0,0
0,ref-cycles,dcache-loads,dcache-load-misses,l2_rqsts.references,l2_rqsts.miss
1,"515,155","234,170","9,709","23,207","8,452"
2,"524,731","275,310","9,677","23,294","8,472"
3,"522,879","284,360","9,691","23,211","8,441"
4,"534,177","304,407","9,675","23,151","8,400"
5,"561,133","353,622","9,649","23,063","8,412"
6,"527,474","284,886","9,653","23,173","8,443"
7,"540,939","306,550","9,671","23,207","8,456"
8,"571,666","365,621","9,698","23,101","8,415"
9,"539,477","308,705","9,625","23,140","8,469"
10,"570,986","371,425","9,631","23,073","8,448"
11,"575,736","388,461","9,602","23,197","8,439"
12,"544,517","260,268","9,658","23,195","8,452"
13,"584,766","309,035","9,674","23,218","8,432"
14,"578,075","333,499","9,657","23,183","8,466"
